[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: auroraryan0301 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run x4cigrky
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /mnt/cpfs/yurh/Infinigen-Sim/wandb/run-20260330_174124-x4cigrky
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prog_dino4f_warmproj_2anim
wandb: ⭐️ View project at https://wandb.ai/auroraryan0301/infinipart
wandb: 🚀 View run at https://wandb.ai/auroraryan0301/infinipart/runs/x4cigrky
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 999): 1604M total, 311M trainable
  basic_2: p0=7421, p1=310, cond=torch.Size([1, 5480, 1536])
  basic_5: p0=7117, p1=554, cond=torch.Size([1, 5480, 1536])

Phase 1: Projector warmup (1000 steps, cross-attn frozen)

  [50/8000] loss=0.430285 b2=0.3646 b5=0.4355 proj_only | 0.72 it/s
  [100/8000] loss=0.338013 b2=0.3457 b5=0.3126 proj_only | 0.72 it/s
  [150/8000] loss=0.342534 b2=0.3635 b5=0.3600 proj_only | 0.73 it/s
  [200/8000] loss=0.344490 b2=0.3588 b5=0.3295 proj_only | 0.73 it/s
  [250/8000] loss=0.372036 b2=0.3860 b5=0.3646 proj_only | 0.73 it/s
  [300/8000] loss=0.332830 b2=0.2931 b5=0.3327 proj_only | 0.73 it/s
  [350/8000] loss=0.384559 b2=0.4037 b5=0.3748 proj_only | 0.73 it/s
  [400/8000] loss=0.305002 b2=0.3392 b5=0.2683 proj_only | 0.73 it/s
  [450/8000] loss=0.291570 b2=0.3085 b5=0.2606 proj_only | 0.73 it/s
  [500/8000] loss=0.280077 b2=0.2749 b5=0.2853 proj_only | 0.73 it/s
  [550/8000] loss=0.288804 b2=0.3022 b5=0.2754 proj_only | 0.73 it/s
  [600/8000] loss=0.293798 b2=0.2768 b5=0.3118 proj_only | 0.73 it/s
  [650/8000] loss=0.282604 b2=0.2551 b5=0.3136 proj_only | 0.73 it/s
  [700/8000] loss=0.302355 b2=0.2844 b5=0.3331 proj_only | 0.73 it/s
  [750/8000] loss=0.319542 b2=0.3748 b5=0.2782 proj_only | 0.73 it/s
