Found 71246 part OBJs to process, 10238 metadata copied
Output: /mnt/data_ssd/infinigen-sim-data/precompute_solidified
Workers: 96
Thickness: 0.02
  [500/71246] 14.0/s | copied=201 solidified=299 suspicious=0 failed=0 | ETA=84min
  [1000/71246] 19.8/s | copied=305 solidified=695 suspicious=0 failed=0 | ETA=59min
  [1500/71246] 23.9/s | copied=427 solidified=1073 suspicious=0 failed=0 | ETA=49min
  [2000/71246] 25.8/s | copied=560 solidified=1440 suspicious=0 failed=0 | ETA=45min
  [2500/71246] 27.7/s | copied=685 solidified=1815 suspicious=0 failed=0 | ETA=41min
  [3000/71246] 28.9/s | copied=828 solidified=2172 suspicious=0 failed=0 | ETA=39min
  [3500/71246] 29.7/s | copied=937 solidified=2563 suspicious=0 failed=0 | ETA=38min
  [4000/71246] 30.8/s | copied=1051 solidified=2949 suspicious=0 failed=0 | ETA=36min
  [4500/71246] 30.6/s | copied=1185 solidified=3315 suspicious=0 failed=0 | ETA=36min
  [5000/71246] 31.0/s | copied=1311 solidified=3689 suspicious=0 failed=0 | ETA=36min
  [5500/71246] 31.5/s | copied=1415 solidified=4085 suspicious=0 failed=0 | ETA=35min
  [6000/71246] 31.8/s | copied=1554 solidified=4446 suspicious=0 failed=0 | ETA=34min
  [6500/71246] 31.9/s | copied=1655 solidified=4845 suspicious=0 failed=0 | ETA=34min
  [7000/71246] 32.2/s | copied=1766 solidified=5234 suspicious=0 failed=0 | ETA=33min
  [7500/71246] 32.7/s | copied=1880 solidified=5620 suspicious=0 failed=0 | ETA=33min
  [8000/71246] 32.7/s | copied=2028 solidified=5972 suspicious=0 failed=0 | ETA=32min
  [8500/71246] 33.0/s | copied=2163 solidified=6337 suspicious=0 failed=0 | ETA=32min
  [9000/71246] 33.1/s | copied=2307 solidified=6693 suspicious=0 failed=0 | ETA=31min
  [9500/71246] 33.2/s | copied=2424 solidified=7076 suspicious=0 failed=0 | ETA=31min
  [10000/71246] 33.4/s | copied=2571 solidified=7429 suspicious=0 failed=0 | ETA=31min
  [10500/71246] 33.3/s | copied=2729 solidified=7771 suspicious=0 failed=0 | ETA=30min
  [11000/71246] 33.4/s | copied=2840 solidified=8160 suspicious=0 failed=0 | ETA=30min
  [11500/71246] 33.0/s | copied=2940 solidified=8560 suspicious=0 failed=0 | ETA=30min
  [12000/71246] 32.3/s | copied=3024 solidified=8976 suspicious=0 failed=0 | ETA=31min
  [12500/71246] 32.1/s | copied=3106 solidified=9394 suspicious=0 failed=0 | ETA=31min
  [13000/71246] 31.5/s | copied=3187 solidified=9813 suspicious=0 failed=0 | ETA=31min
  [13500/71246] 31.2/s | copied=3258 solidified=10241 suspicious=1 failed=0 | ETA=31min
  [14000/71246] 31.2/s | copied=3339 solidified=10660 suspicious=1 failed=0 | ETA=31min
  [14500/71246] 30.9/s | copied=3403 solidified=11096 suspicious=1 failed=0 | ETA=31min
  [15000/71246] 30.9/s | copied=3458 solidified=11541 suspicious=1 failed=0 | ETA=30min
  [15500/71246] 30.7/s | copied=3548 solidified=11951 suspicious=1 failed=0 | ETA=30min
  [16000/71246] 30.4/s | copied=3618 solidified=12381 suspicious=1 failed=0 | ETA=30min
  [16500/71246] 30.4/s | copied=3681 solidified=12818 suspicious=1 failed=0 | ETA=30min
  [17000/71246] 30.3/s | copied=3795 solidified=13204 suspicious=1 failed=0 | ETA=30min
  [17500/71246] 30.1/s | copied=3915 solidified=13584 suspicious=1 failed=0 | ETA=30min
  [18000/71246] 30.1/s | copied=3970 solidified=14029 suspicious=1 failed=0 | ETA=29min
  [18500/71246] 30.1/s | copied=4076 solidified=14423 suspicious=1 failed=0 | ETA=29min
  [19000/71246] 30.0/s | copied=4147 solidified=14852 suspicious=1 failed=0 | ETA=29min
  [19500/71246] 29.9/s | copied=4248 solidified=15251 suspicious=1 failed=0 | ETA=29min
  [20000/71246] 29.8/s | copied=4307 solidified=15692 suspicious=1 failed=0 | ETA=29min
  [20500/71246] 29.6/s | copied=4387 solidified=16112 suspicious=1 failed=0 | ETA=29min
  [21000/71246] 29.6/s | copied=4445 solidified=16554 suspicious=1 failed=0 | ETA=28min
  [21500/71246] 29.6/s | copied=4543 solidified=16956 suspicious=1 failed=0 | ETA=28min
  [22000/71246] 29.5/s | copied=4622 solidified=17377 suspicious=1 failed=0 | ETA=28min
  [22500/71246] 29.3/s | copied=4702 solidified=17797 suspicious=1 failed=0 | ETA=28min
  [23000/71246] 29.3/s | copied=4764 solidified=18235 suspicious=1 failed=0 | ETA=27min
  [23500/71246] 29.2/s | copied=4866 solidified=18633 suspicious=1 failed=0 | ETA=27min
  [24000/71246] 29.1/s | copied=4937 solidified=19062 suspicious=1 failed=0 | ETA=27min
  [24500/71246] 29.1/s | copied=4989 solidified=19510 suspicious=1 failed=0 | ETA=27min
  [25000/71246] 29.0/s | copied=5050 solidified=19949 suspicious=1 failed=0 | ETA=27min
  [25500/71246] 29.1/s | copied=5137 solidified=20362 suspicious=1 failed=0 | ETA=26min
  [26000/71246] 29.0/s | copied=5254 solidified=20745 suspicious=1 failed=0 | ETA=26min
  [26500/71246] 29.0/s | copied=5309 solidified=21190 suspicious=1 failed=0 | ETA=26min
  [27000/71246] 28.9/s | copied=5368 solidified=21631 suspicious=1 failed=0 | ETA=26min
  [27500/71246] 28.8/s | copied=5433 solidified=22066 suspicious=1 failed=0 | ETA=25min
  [28000/71246] 28.9/s | copied=5498 solidified=22501 suspicious=1 failed=0 | ETA=25min
  [28500/71246] 28.8/s | copied=5574 solidified=22925 suspicious=1 failed=0 | ETA=25min
  [29000/71246] 28.8/s | copied=5646 solidified=23353 suspicious=1 failed=0 | ETA=24min
  [29500/71246] 28.7/s | copied=5712 solidified=23787 suspicious=1 failed=0 | ETA=24min
  [30000/71246] 28.7/s | copied=5789 solidified=24210 suspicious=1 failed=0 | ETA=24min
  [30500/71246] 28.7/s | copied=5894 solidified=24605 suspicious=1 failed=0 | ETA=24min
  [31000/71246] 28.7/s | copied=5973 solidified=25026 suspicious=1 failed=0 | ETA=23min
  [31500/71246] 28.6/s | copied=6025 solidified=25474 suspicious=1 failed=0 | ETA=23min
  [32000/71246] 28.5/s | copied=6089 solidified=25910 suspicious=1 failed=0 | ETA=23min
  [32500/71246] 28.5/s | copied=6171 solidified=26328 suspicious=1 failed=0 | ETA=23min
  [33000/71246] 28.5/s | copied=6238 solidified=26761 suspicious=1 failed=0 | ETA=22min
  [33500/71246] 28.5/s | copied=6338 solidified=27161 suspicious=1 failed=0 | ETA=22min
  [34000/71246] 28.4/s | copied=6435 solidified=27564 suspicious=1 failed=0 | ETA=22min
  [34500/71246] 28.5/s | copied=6510 solidified=27989 suspicious=1 failed=0 | ETA=22min
  [35000/71246] 28.4/s | copied=6577 solidified=28422 suspicious=1 failed=0 | ETA=21min
  [35500/71246] 28.4/s | copied=6676 solidified=28823 suspicious=1 failed=0 | ETA=21min
  [36000/71246] 28.4/s | copied=6736 solidified=29263 suspicious=1 failed=0 | ETA=21min
  [36500/71246] 28.3/s | copied=6801 solidified=29698 suspicious=1 failed=0 | ETA=20min
  [37000/71246] 28.2/s | copied=6893 solidified=30106 suspicious=1 failed=0 | ETA=20min
  [37500/71246] 28.2/s | copied=6992 solidified=30507 suspicious=1 failed=0 | ETA=20min
  [38000/71246] 28.2/s | copied=7068 solidified=30931 suspicious=1 failed=0 | ETA=20min
  [38500/71246] 28.2/s | copied=7163 solidified=31335 suspicious=2 failed=0 | ETA=19min
  [39000/71246] 28.2/s | copied=7247 solidified=31751 suspicious=2 failed=0 | ETA=19min
  [39500/71246] 28.1/s | copied=7318 solidified=32180 suspicious=2 failed=0 | ETA=19min
  [40000/71246] 28.1/s | copied=7413 solidified=32585 suspicious=2 failed=0 | ETA=19min
  [40500/71246] 28.1/s | copied=7503 solidified=32995 suspicious=2 failed=0 | ETA=18min
  [41000/71246] 28.1/s | copied=7582 solidified=33416 suspicious=2 failed=0 | ETA=18min
  [41500/71246] 28.0/s | copied=7676 solidified=33822 suspicious=2 failed=0 | ETA=18min
  [42000/71246] 28.1/s | copied=7777 solidified=34221 suspicious=2 failed=0 | ETA=17min
  [42500/71246] 28.0/s | copied=7870 solidified=34628 suspicious=2 failed=0 | ETA=17min
  [43000/71246] 28.0/s | copied=7934 solidified=35064 suspicious=2 failed=0 | ETA=17min
  [43500/71246] 28.0/s | copied=8029 solidified=35469 suspicious=2 failed=0 | ETA=16min
  [44000/71246] 27.9/s | copied=8126 solidified=35872 suspicious=2 failed=0 | ETA=16min
  [44500/71246] 28.0/s | copied=8231 solidified=36267 suspicious=2 failed=0 | ETA=16min
  [45000/71246] 27.9/s | copied=8357 solidified=36641 suspicious=2 failed=0 | ETA=16min
  [45500/71246] 27.9/s | copied=8434 solidified=37064 suspicious=2 failed=0 | ETA=15min
  [46000/71246] 27.8/s | copied=8519 solidified=37479 suspicious=2 failed=0 | ETA=15min
  [46500/71246] 27.8/s | copied=8614 solidified=37884 suspicious=2 failed=0 | ETA=15min
  [47000/71246] 27.7/s | copied=8729 solidified=38269 suspicious=2 failed=0 | ETA=15min
  [47500/71246] 27.6/s | copied=8801 solidified=38697 suspicious=2 failed=0 | ETA=14min
  [48000/71246] 27.6/s | copied=8873 solidified=39125 suspicious=2 failed=0 | ETA=14min
  [48500/71246] 27.5/s | copied=8924 solidified=39574 suspicious=2 failed=0 | ETA=14min
  [49000/71246] 27.5/s | copied=9011 solidified=39987 suspicious=2 failed=0 | ETA=13min
  [49500/71246] 27.5/s | copied=9083 solidified=40415 suspicious=2 failed=0 | ETA=13min
  [50000/71246] 27.4/s | copied=9163 solidified=40835 suspicious=2 failed=0 | ETA=13min
  [50500/71246] 27.4/s | copied=9251 solidified=41247 suspicious=2 failed=0 | ETA=13min
  [51000/71246] 27.4/s | copied=9340 solidified=41658 suspicious=2 failed=0 | ETA=12min
  [51500/71246] 27.4/s | copied=9391 solidified=42107 suspicious=2 failed=0 | ETA=12min
  [52000/71246] 27.4/s | copied=9450 solidified=42548 suspicious=2 failed=0 | ETA=12min
  [52500/71246] 27.3/s | copied=9535 solidified=42963 suspicious=2 failed=0 | ETA=11min
  [53000/71246] 27.3/s | copied=9614 solidified=43384 suspicious=2 failed=0 | ETA=11min
  [53500/71246] 27.4/s | copied=9746 solidified=43752 suspicious=2 failed=0 | ETA=11min
  [54000/71246] 27.4/s | copied=9864 solidified=44134 suspicious=2 failed=0 | ETA=11min
  [54500/71246] 27.3/s | copied=9945 solidified=44553 suspicious=2 failed=0 | ETA=10min
  [55000/71246] 27.3/s | copied=10002 solidified=44996 suspicious=2 failed=0 | ETA=10min
  [55500/71246] 27.2/s | copied=10097 solidified=45401 suspicious=2 failed=0 | ETA=10min
  [56000/71246] 27.2/s | copied=10170 solidified=45828 suspicious=2 failed=0 | ETA=9min
  [56500/71246] 27.2/s | copied=10271 solidified=46227 suspicious=2 failed=0 | ETA=9min
  [57000/71246] 27.1/s | copied=10351 solidified=46647 suspicious=2 failed=0 | ETA=9min
  [57500/71246] 27.1/s | copied=10429 solidified=47069 suspicious=2 failed=0 | ETA=8min
  [58000/71246] 27.0/s | copied=10509 solidified=47489 suspicious=2 failed=0 | ETA=8min
  [58500/71246] 27.0/s | copied=10558 solidified=47940 suspicious=2 failed=0 | ETA=8min
  [59000/71246] 27.0/s | copied=10733 solidified=48265 suspicious=2 failed=0 | ETA=8min
  [59500/71246] 27.1/s | copied=11048 solidified=48450 suspicious=2 failed=0 | ETA=7min
  [60000/71246] 27.3/s | copied=11363 solidified=48635 suspicious=2 failed=0 | ETA=7min
  [60500/71246] 27.4/s | copied=11719 solidified=48779 suspicious=2 failed=0 | ETA=7min
  [61000/71246] 27.6/s | copied=12111 solidified=48887 suspicious=2 failed=0 | ETA=6min
  [61500/71246] 27.8/s | copied=12420 solidified=49078 suspicious=2 failed=0 | ETA=6min
