[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 15): 1603M total, 311M trainable
Resumed from step 15000, cross_attn_start=15
Samples: 15

Training: step 15000 → 38000, save every 3000

  [15100/38000] loss=0.066563 | 0.98 it/s
  [15200/38000] loss=0.081620 | 1.01 it/s
  [15300/38000] loss=0.105248 | 1.03 it/s
  [15400/38000] loss=0.092125 | 1.04 it/s
  [15500/38000] loss=0.037839 | 1.04 it/s
  [15600/38000] loss=0.044897 | 1.04 it/s
  [15700/38000] loss=0.066975 | 1.05 it/s
  [15800/38000] loss=0.059806 | 1.05 it/s
  [15900/38000] loss=0.043962 | 1.05 it/s
  [16000/38000] loss=0.047483 | 1.05 it/s
  [16100/38000] loss=0.080160 | 1.05 it/s
  [16200/38000] loss=0.071808 | 1.05 it/s
  [16300/38000] loss=0.056245 | 1.05 it/s
  [16400/38000] loss=0.058261 | 1.05 it/s
  [16500/38000] loss=0.037259 | 1.04 it/s
  [16600/38000] loss=0.066346 | 1.04 it/s
  [16700/38000] loss=0.073631 | 1.04 it/s
  [16800/38000] loss=0.071934 | 1.04 it/s
  [16900/38000] loss=0.057387 | 1.04 it/s
  [17000/38000] loss=0.047946 | 1.04 it/s
  [17100/38000] loss=0.046304 | 1.04 it/s
  [17200/38000] loss=0.038800 | 1.04 it/s
  [17300/38000] loss=0.119570 | 1.04 it/s
  [17400/38000] loss=0.079315 | 1.04 it/s
  [17500/38000] loss=0.039090 | 1.04 it/s
  [17600/38000] loss=0.050319 | 1.04 it/s
  [17700/38000] loss=0.040813 | 1.04 it/s
  [17800/38000] loss=0.036340 | 1.04 it/s
  [17900/38000] loss=0.052666 | 1.04 it/s
  [18000/38000] loss=0.056781 | 1.04 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_overfit_long/step_18000.pt
  [18100/38000] loss=0.079184 | 1.03 it/s
  [18200/38000] loss=0.054601 | 1.03 it/s
  [18300/38000] loss=0.057138 | 1.03 it/s
  [18400/38000] loss=0.051230 | 1.03 it/s
  [18500/38000] loss=0.039430 | 1.03 it/s
  [18600/38000] loss=0.076452 | 1.03 it/s
  [18700/38000] loss=0.049727 | 1.03 it/s
  [18800/38000] loss=0.017792 | 1.03 it/s
  [18900/38000] loss=0.063966 | 1.03 it/s
  [19000/38000] loss=0.035442 | 1.04 it/s
  [19100/38000] loss=0.050290 | 1.03 it/s
  [19200/38000] loss=0.051022 | 1.04 it/s
  [19300/38000] loss=0.045394 | 1.04 it/s
  [19400/38000] loss=0.060626 | 1.04 it/s
  [19500/38000] loss=0.042278 | 1.04 it/s
  [19600/38000] loss=0.090770 | 1.04 it/s
  [19700/38000] loss=0.081025 | 1.04 it/s
  [19800/38000] loss=0.058653 | 1.04 it/s
  [19900/38000] loss=0.069580 | 1.04 it/s
  [20000/38000] loss=0.049802 | 1.04 it/s
  [20100/38000] loss=0.052059 | 1.04 it/s
  [20200/38000] loss=0.056327 | 1.04 it/s
  [20300/38000] loss=0.089918 | 1.04 it/s
  [20400/38000] loss=0.061004 | 1.03 it/s
