[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 15): 1603M total, 311M trainable
Resumed from step 8000, cross_attn_start=15
Samples: 21

Training: step 8000 → 38000, save every 3000

  [8100/38000] loss=0.087177 | 1.44 it/s
  [8200/38000] loss=0.125310 | 1.45 it/s
  [8300/38000] loss=0.156580 | 1.45 it/s
  [8400/38000] loss=0.136942 | 1.46 it/s
  [8500/38000] loss=0.078236 | 1.45 it/s
  [8600/38000] loss=0.070444 | 1.46 it/s
  [8700/38000] loss=0.102982 | 1.46 it/s
  [8800/38000] loss=0.089828 | 1.46 it/s
  [8900/38000] loss=0.074299 | 1.46 it/s
  [9000/38000] loss=0.103331 | 1.46 it/s
  Saved: /mnt/data_ssd/infinigen-sim/slat_overfit_long/step_9000.pt
  [9100/38000] loss=0.114331 | 1.45 it/s
  [9200/38000] loss=0.097868 | 1.45 it/s
  [9300/38000] loss=0.105004 | 1.45 it/s
  [9400/38000] loss=0.081742 | 1.45 it/s
  [9500/38000] loss=0.059755 | 1.45 it/s
  [9600/38000] loss=0.097609 | 1.45 it/s
  [9700/38000] loss=0.104544 | 1.45 it/s
  [9800/38000] loss=0.114052 | 1.45 it/s
  [9900/38000] loss=0.084406 | 1.45 it/s
  [10000/38000] loss=0.082505 | 1.45 it/s
  [10100/38000] loss=0.080506 | 1.46 it/s
  [10200/38000] loss=0.051733 | 1.46 it/s
  [10300/38000] loss=0.081638 | 1.46 it/s
  [10400/38000] loss=0.087217 | 1.46 it/s
  [10500/38000] loss=0.063368 | 1.46 it/s
  [10600/38000] loss=0.070924 | 1.46 it/s
  [10700/38000] loss=0.069060 | 1.46 it/s
  [10800/38000] loss=0.054167 | 1.46 it/s
  [10900/38000] loss=0.078264 | 1.46 it/s
  [11000/38000] loss=0.104408 | 1.46 it/s
  [11100/38000] loss=0.109582 | 1.46 it/s
  [11200/38000] loss=0.068005 | 1.46 it/s
  [11300/38000] loss=0.072183 | 1.46 it/s
  [11400/38000] loss=0.064887 | 1.46 it/s
  [11500/38000] loss=0.061842 | 1.46 it/s
  [11600/38000] loss=0.096312 | 1.46 it/s
  [11700/38000] loss=0.073159 | 1.46 it/s
  [11800/38000] loss=0.041553 | 1.46 it/s
  [11900/38000] loss=0.087130 | 1.46 it/s
  [12000/38000] loss=0.049002 | 1.46 it/s
  Saved: /mnt/data_ssd/infinigen-sim/slat_overfit_long/step_12000.pt
  [12100/38000] loss=0.086613 | 1.46 it/s
  [12200/38000] loss=0.093145 | 1.46 it/s
  [12300/38000] loss=0.077634 | 1.46 it/s
  [12400/38000] loss=0.084045 | 1.46 it/s
  [12500/38000] loss=0.056363 | 1.46 it/s
  [12600/38000] loss=0.102897 | 1.46 it/s
  [12700/38000] loss=0.084483 | 1.46 it/s
  [12800/38000] loss=0.075074 | 1.46 it/s
  [12900/38000] loss=0.068630 | 1.46 it/s
  [13000/38000] loss=0.081552 | 1.46 it/s
  [13100/38000] loss=0.059447 | 1.46 it/s
  [13200/38000] loss=0.085396 | 1.46 it/s
  [13300/38000] loss=0.124128 | 1.46 it/s
  [13400/38000] loss=0.089768 | 1.46 it/s
  [13500/38000] loss=0.095233 | 1.46 it/s
  [13600/38000] loss=0.066133 | 1.46 it/s
  [13700/38000] loss=0.044773 | 1.46 it/s
  [13800/38000] loss=0.069734 | 1.46 it/s
  [13900/38000] loss=0.099872 | 1.46 it/s
  [14000/38000] loss=0.062024 | 1.46 it/s
  [14100/38000] loss=0.119324 | 1.46 it/s
  [14200/38000] loss=0.071805 | 1.46 it/s
  [14300/38000] loss=0.060816 | 1.46 it/s
  [14400/38000] loss=0.074263 | 1.46 it/s
  [14500/38000] loss=0.083072 | 1.46 it/s
  [14600/38000] loss=0.083327 | 1.46 it/s
  [14700/38000] loss=0.071780 | 1.46 it/s
  [14800/38000] loss=0.062231 | 1.46 it/s
  [14900/38000] loss=0.066651 | 1.46 it/s
  [15000/38000] loss=0.053920 | 1.46 it/s
  Saved: /mnt/data_ssd/infinigen-sim/slat_overfit_long/step_15000.pt
  [15100/38000] loss=0.067082 | 1.46 it/s
  [15200/38000] loss=0.070336 | 1.46 it/s
