[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 15): 1603M total, 311M trainable
Loaded step_21000, cross_attn_start=15
Sample: lamp/0_basic_0, p0=88, p1=598 tokens
JEPA: torch.Size([1, 10240, 1408])

Single-sample overfit: 0 -> 5000, save every 500

  [50/5000] loss=0.062323 | 1.35 it/s
  [100/5000] loss=0.062187 | 1.36 it/s
  [150/5000] loss=0.071612 | 1.37 it/s
  [200/5000] loss=0.078508 | 1.38 it/s
  [250/5000] loss=0.102708 | 1.38 it/s
  [300/5000] loss=0.083692 | 1.38 it/s
  [350/5000] loss=0.102439 | 1.38 it/s
  [400/5000] loss=0.047988 | 1.38 it/s
  [450/5000] loss=0.033290 | 1.38 it/s
  [500/5000] loss=0.031070 | 1.38 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_overfit_single_lamp/step_500.pt
  [550/5000] loss=0.015671 | 1.37 it/s
  [600/5000] loss=0.034378 | 1.37 it/s
  [650/5000] loss=0.046586 | 1.37 it/s
  [700/5000] loss=0.064455 | 1.37 it/s
  [750/5000] loss=0.055189 | 1.37 it/s
  [800/5000] loss=0.020847 | 1.37 it/s
  [850/5000] loss=0.035652 | 1.36 it/s
  [900/5000] loss=0.016312 | 1.36 it/s
  [950/5000] loss=0.026220 | 1.36 it/s
  [1000/5000] loss=0.046882 | 1.36 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_overfit_single_lamp/step_1000.pt
  [1050/5000] loss=0.049663 | 1.36 it/s
  [1100/5000] loss=0.073143 | 1.36 it/s
  [1150/5000] loss=0.052977 | 1.36 it/s
  [1200/5000] loss=0.028677 | 1.36 it/s
  [1250/5000] loss=0.045975 | 1.36 it/s
  [1300/5000] loss=0.030977 | 1.36 it/s
  [1350/5000] loss=0.035585 | 1.36 it/s
  [1400/5000] loss=0.034321 | 1.36 it/s
  [1450/5000] loss=0.024057 | 1.36 it/s
  [1500/5000] loss=0.010516 | 1.36 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_overfit_single_lamp/step_1500.pt
  [1550/5000] loss=0.028367 | 1.36 it/s
  [1600/5000] loss=0.078453 | 1.36 it/s
  [1650/5000] loss=0.040305 | 1.36 it/s
  [1700/5000] loss=0.059478 | 1.36 it/s
  [1750/5000] loss=0.043399 | 1.37 it/s
  [1800/5000] loss=0.062460 | 1.37 it/s
  [1850/5000] loss=0.035946 | 1.37 it/s
  [1900/5000] loss=0.043718 | 1.37 it/s
  [1950/5000] loss=0.036415 | 1.37 it/s
  [2000/5000] loss=0.054989 | 1.37 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_overfit_single_lamp/step_2000.pt
  [2050/5000] loss=0.021625 | 1.37 it/s
  [2100/5000] loss=0.039810 | 1.37 it/s
  [2150/5000] loss=0.011872 | 1.37 it/s
  [2200/5000] loss=0.015155 | 1.37 it/s
  [2250/5000] loss=0.027665 | 1.37 it/s
  [2300/5000] loss=0.048872 | 1.37 it/s
  [2350/5000] loss=0.046824 | 1.37 it/s
  [2400/5000] loss=0.044252 | 1.37 it/s
  [2450/5000] loss=0.021073 | 1.37 it/s
  [2500/5000] loss=0.015464 | 1.37 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_overfit_single_lamp/step_2500.pt
  [2550/5000] loss=0.035396 | 1.37 it/s
  [2600/5000] loss=0.029209 | 1.37 it/s
  [2650/5000] loss=0.020122 | 1.37 it/s
  [2700/5000] loss=0.030245 | 1.37 it/s
  [2750/5000] loss=0.013376 | 1.37 it/s
  [2800/5000] loss=0.011430 | 1.37 it/s
  [2850/5000] loss=0.058862 | 1.37 it/s
  [2900/5000] loss=0.028446 | 1.37 it/s
  [2950/5000] loss=0.022431 | 1.37 it/s
  [3000/5000] loss=0.076803 | 1.37 it/s
