/mnt/cpfs/yurh/miniconda3/envs/partpacker_wan/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
/mnt/cpfs/yurh/miniconda3/envs/partpacker_wan/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
/mnt/cpfs/yurh/miniconda3/envs/partpacker_wan/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
/mnt/cpfs/yurh/miniconda3/envs/partpacker_wan/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
/mnt/cpfs/yurh/miniconda3/envs/partpacker_wan/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
[Manifest] Loaded from /mnt/data_ssd/infinigen-sim-data/checkpoints/overfit_table22367_2anim/manifest.json

======================================================================
Multi-Category DDP: VJEPA2 Only
  Conditioning: [1536] -> proj -> [1536]
  Categories: []
  GPUs: 4, batch_size/GPU: 8
  Grad accum: 1
  Effective batch size: 32
  Training samples: 12
  Test samples: 4 (every 4th view)
  Steps: 30000, LR: 0.0001
  Data root: /mnt/data_ssd/infinigen-sim-data/encoded
  Output dir: /mnt/data_ssd/infinigen-sim-data/checkpoints/overfit_table22367_2anim
  Manifest: /mnt/data_ssd/infinigen-sim-data/checkpoints/overfit_table22367_2anim/manifest.json (fixed dataset)
======================================================================


  Eval subset: 12 train, 4 test
Preloading all features into CPU RAM...

Preload:   0%|          | 0/16 [00:00<?, ?it/s]
Preload:  50%|█████     | 8/16 [00:00<00:00, 69.53it/s]
Preload: 100%|██████████| 16/16 [00:00<00:00, 71.67it/s]
Preload: 100%|██████████| 16/16 [00:00<00:00, 71.27it/s]
  Cached: 2 GT (4MB), 16 JEPA (269MB)
DiT: 1249.5M | proj: 2360832 | Total: 1251.9M
[Resume] Step 2500, lr=5.05e-05
/mnt/cpfs/yurh/PartPacker/train_partnet_vjepa_ddp.py:1106: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(dtype=torch.bfloat16):
/mnt/cpfs/yurh/PartPacker/train_partnet_vjepa_ddp.py:1106: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(dtype=torch.bfloat16):
/mnt/cpfs/yurh/PartPacker/train_partnet_vjepa_ddp.py:1106: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(dtype=torch.bfloat16):
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: auroraryan0301 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 5kpm0p8z
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /mnt/cpfs/yurh/Infinigen-Sim/wandb/run-20260329_052903-5kpm0p8z
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run overfit_table22367_basic2vs5_30k
wandb: ⭐️ View project at https://wandb.ai/auroraryan0301/infinipart
wandb: 🚀 View run at https://wandb.ai/auroraryan0301/infinipart/runs/5kpm0p8z

Training:   0%|          | 0/27500 [00:00<?, ?it/s]/mnt/cpfs/yurh/PartPacker/train_partnet_vjepa_ddp.py:1106: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(dtype=torch.bfloat16):

Training:   0%|          | 0/27500 [00:04<?, ?it/s, loss=0.3638, lr=5.05e-05]
Training:   0%|          | 1/27500 [00:04<35:19:14,  4.62s/it, loss=0.3638, lr=5.05e-05]
Training:   0%|          | 1/27500 [00:09<35:19:14,  4.62s/it, loss=0.4670, lr=5.04e-05]
Training:   0%|          | 2/27500 [00:09<34:40:34,  4.54s/it, loss=0.4670, lr=5.04e-05]
Training:   0%|          | 2/27500 [00:13<34:40:34,  4.54s/it, loss=0.3283, lr=5.04e-05]
Training:   0%|          | 3/27500 [00:13<34:35:50,  4.53s/it, loss=0.3283, lr=5.04e-05]
Training:   0%|          | 3/27500 [00:18<34:35:50,  4.53s/it, loss=0.5081, lr=5.04e-05]
Training:   0%|          | 4/27500 [00:18<34:36:30,  4.53s/it, loss=0.5081, lr=5.04e-05]
Training:   0%|          | 4/27500 [00:22<34:36:30,  4.53s/it, loss=0.4728, lr=5.03e-05]
Training:   0%|          | 5/27500 [00:22<34:35:57,  4.53s/it, loss=0.4728, lr=5.03e-05]
Training:   0%|          | 5/27500 [00:27<34:35:57,  4.53s/it, loss=0.4772, lr=5.03e-05]
Training:   0%|          | 6/27500 [00:27<34:27:59,  4.51s/it, loss=0.4772, lr=5.03e-05]
Training:   0%|          | 6/27500 [00:31<34:27:59,  4.51s/it, loss=0.6198, lr=5.03e-05]
Training:   0%|          | 7/27500 [00:31<34:18:53,  4.49s/it, loss=0.6198, lr=5.03e-05]
Training:   0%|          | 7/27500 [00:36<34:18:53,  4.49s/it, loss=0.3852, lr=5.03e-05]
Training:   0%|          | 8/27500 [00:36<34:21:15,  4.50s/it, loss=0.3852, lr=5.03e-05]
Training:   0%|          | 8/27500 [00:40<34:21:15,  4.50s/it, loss=0.4172, lr=5.02e-05]
Training:   0%|          | 9/27500 [00:40<34:21:45,  4.50s/it, loss=0.4172, lr=5.02e-05]
Training:   0%|          | 9/27500 [00:45<34:21:45,  4.50s/it, loss=0.3152, lr=5.02e-05]
Training:   0%|          | 10/27500 [00:45<34:20:14,  4.50s/it, loss=0.3152, lr=5.02e-05]
Training:   0%|          | 10/27500 [00:49<34:20:14,  4.50s/it, loss=0.4866, lr=5.02e-05]
Training:   0%|          | 11/27500 [00:49<34:12:54,  4.48s/it, loss=0.4866, lr=5.02e-05]
Training:   0%|          | 11/27500 [00:54<34:12:54,  4.48s/it, loss=0.4494, lr=5.01e-05]
Training:   0%|          | 12/27500 [00:54<34:15:21,  4.49s/it, loss=0.4494, lr=5.01e-05]
Training:   0%|          | 12/27500 [00:58<34:15:21,  4.49s/it, loss=0.4637, lr=5.01e-05]
Training:   0%|          | 13/27500 [00:58<34:17:20,  4.49s/it, loss=0.4637, lr=5.01e-05]
Training:   0%|          | 13/27500 [01:03<34:17:20,  4.49s/it, loss=0.3641, lr=5.01e-05]
Training:   0%|          | 14/27500 [01:03<34:14:30,  4.48s/it, loss=0.3641, lr=5.01e-05]
Training:   0%|          | 14/27500 [01:07<34:14:30,  4.48s/it, loss=0.3954, lr=5.00e-05]
Training:   0%|          | 15/27500 [01:07<34:10:41,  4.48s/it, loss=0.3954, lr=5.00e-05]
Training:   0%|          | 15/27500 [01:11<34:10:41,  4.48s/it, loss=0.5482, lr=5.00e-05]
Training:   0%|          | 16/27500 [01:11<34:13:26,  4.48s/it, loss=0.5482, lr=5.00e-05]
Training:   0%|          | 16/27500 [01:16<34:13:26,  4.48s/it, loss=0.5204, lr=5.00e-05]
Training:   0%|          | 17/27500 [01:16<34:13:30,  4.48s/it, loss=0.5204, lr=5.00e-05]
Training:   0%|          | 17/27500 [01:20<34:13:30,  4.48s/it, loss=0.4445, lr=4.99e-05]
Training:   0%|          | 18/27500 [01:20<34:11:27,  4.48s/it, loss=0.4445, lr=4.99e-05]
Training:   0%|          | 18/27500 [01:25<34:11:27,  4.48s/it, loss=0.3836, lr=4.99e-05]
Training:   0%|          | 19/27500 [01:25<34:07:42,  4.47s/it, loss=0.3836, lr=4.99e-05]
Training:   0%|          | 19/27500 [01:29<34:07:42,  4.47s/it, loss=0.3998, lr=4.99e-05]
Training:   0%|          | 20/27500 [01:29<34:08:33,  4.47s/it, loss=0.3998, lr=4.99e-05]
Training:   0%|          | 20/27500 [01:34<34:08:33,  4.47s/it, loss=0.4827, lr=4.98e-05]
Training:   0%|          | 21/27500 [01:34<34:07:24,  4.47s/it, loss=0.4827, lr=4.98e-05]
Training:   0%|          | 21/27500 [01:38<34:07:24,  4.47s/it, loss=0.3880, lr=4.98e-05]
Training:   0%|          | 22/27500 [01:38<34:03:56,  4.46s/it, loss=0.3880, lr=4.98e-05]
Training:   0%|          | 22/27500 [01:43<34:03:56,  4.46s/it, loss=0.4579, lr=4.98e-05]
Training:   0%|          | 23/27500 [01:43<34:06:36,  4.47s/it, loss=0.4579, lr=4.98e-05]
Training:   0%|          | 23/27500 [01:47<34:06:36,  4.47s/it, loss=0.4411, lr=4.98e-05]
Training:   0%|          | 24/27500 [01:47<34:04:33,  4.46s/it, loss=0.4411, lr=4.98e-05]
Training:   0%|          | 24/27500 [01:52<34:04:33,  4.46s/it, loss=0.4504, lr=4.97e-05]
Training:   0%|          | 25/27500 [01:52<34:01:02,  4.46s/it, loss=0.4504, lr=4.97e-05]
Training:   0%|          | 25/27500 [01:56<34:01:02,  4.46s/it, loss=0.4814, lr=4.97e-05]
Training:   0%|          | 26/27500 [01:56<34:04:07,  4.46s/it, loss=0.4814, lr=4.97e-05]
Training:   0%|          | 26/27500 [02:01<34:04:07,  4.46s/it, loss=0.3286, lr=4.97e-05]
Training:   0%|          | 27/27500 [02:01<34:02:42,  4.46s/it, loss=0.3286, lr=4.97e-05]
Training:   0%|          | 27/27500 [02:05<34:02:42,  4.46s/it, loss=0.5344, lr=4.96e-05]
Training:   0%|          | 28/27500 [02:05<34:15:23,  4.49s/it, loss=0.5344, lr=4.96e-05]
Training:   0%|          | 28/27500 [02:10<34:15:23,  4.49s/it, loss=0.3508, lr=4.96e-05]
Training:   0%|          | 29/27500 [02:10<34:09:40,  4.48s/it, loss=0.3508, lr=4.96e-05]
Training:   0%|          | 29/27500 [02:14<34:09:40,  4.48s/it, loss=0.4629, lr=4.96e-05]
Training:   0%|          | 30/27500 [02:14<34:12:23,  4.48s/it, loss=0.4629, lr=4.96e-05]
Training:   0%|          | 30/27500 [02:19<34:12:23,  4.48s/it, loss=0.3985, lr=4.95e-05]
Training:   0%|          | 31/27500 [02:19<34:15:12,  4.49s/it, loss=0.3985, lr=4.95e-05]
Training:   0%|          | 31/27500 [02:23<34:15:12,  4.49s/it, loss=0.3877, lr=4.95e-05]
Training:   0%|          | 32/27500 [02:23<34:14:13,  4.49s/it, loss=0.3877, lr=4.95e-05]
Training:   0%|          | 32/27500 [02:28<34:14:13,  4.49s/it, loss=0.3266, lr=4.95e-05]
Training:   0%|          | 33/27500 [02:28<34:10:52,  4.48s/it, loss=0.3266, lr=4.95e-05]
Training:   0%|          | 33/27500 [02:32<34:10:52,  4.48s/it, loss=0.4238, lr=4.94e-05]
Training:   0%|          | 34/27500 [02:32<34:11:02,  4.48s/it, loss=0.4238, lr=4.94e-05]
Training:   0%|          | 34/27500 [02:37<34:11:02,  4.48s/it, loss=0.4090, lr=4.94e-05]
Training:   0%|          | 35/27500 [02:37<34:14:57,  4.49s/it, loss=0.4090, lr=4.94e-05]
Training:   0%|          | 35/27500 [02:41<34:14:57,  4.49s/it, loss=0.3632, lr=4.94e-05]
Training:   0%|          | 36/27500 [02:41<34:18:23,  4.50s/it, loss=0.3632, lr=4.94e-05]
Training:   0%|          | 36/27500 [02:46<34:18:23,  4.50s/it, loss=0.6230, lr=4.93e-05]
Training:   0%|          | 37/27500 [02:46<34:21:50,  4.50s/it, loss=0.6230, lr=4.93e-05]
Training:   0%|          | 37/27500 [02:50<34:21:50,  4.50s/it, loss=0.4854, lr=4.93e-05]
Training:   0%|          | 38/27500 [02:50<34:17:45,  4.50s/it, loss=0.4854, lr=4.93e-05]
Training:   0%|          | 38/27500 [02:55<34:17:45,  4.50s/it, loss=0.5066, lr=4.93e-05]
Training:   0%|          | 39/27500 [02:55<34:13:18,  4.49s/it, loss=0.5066, lr=4.93e-05]
Training:   0%|          | 39/27500 [02:59<34:13:18,  4.49s/it, loss=0.4768, lr=4.93e-05]
Training:   0%|          | 40/27500 [02:59<34:30:39,  4.52s/it, loss=0.4768, lr=4.93e-05]
Training:   0%|          | 40/27500 [03:04<34:30:39,  4.52s/it, loss=0.4520, lr=4.92e-05]
Training:   0%|          | 41/27500 [03:04<34:31:57,  4.53s/it, loss=0.4520, lr=4.92e-05]
Training:   0%|          | 41/27500 [03:08<34:31:57,  4.53s/it, loss=0.4487, lr=4.92e-05]
Training:   0%|          | 42/27500 [03:08<34:28:00,  4.52s/it, loss=0.4487, lr=4.92e-05]
Training:   0%|          | 42/27500 [03:13<34:28:00,  4.52s/it, loss=0.5255, lr=4.92e-05]
Training:   0%|          | 43/27500 [03:13<34:22:32,  4.51s/it, loss=0.5255, lr=4.92e-05]
Training:   0%|          | 43/27500 [03:17<34:22:32,  4.51s/it, loss=0.4904, lr=4.91e-05]
Training:   0%|          | 44/27500 [03:17<34:24:14,  4.51s/it, loss=0.4904, lr=4.91e-05]
Training:   0%|          | 44/27500 [03:22<34:24:14,  4.51s/it, loss=0.3759, lr=4.91e-05]
Training:   0%|          | 45/27500 [03:22<34:26:33,  4.52s/it, loss=0.3759, lr=4.91e-05]
Training:   0%|          | 45/27500 [03:26<34:26:33,  4.52s/it, loss=0.4360, lr=4.91e-05]
Training:   0%|          | 46/27500 [03:26<34:29:31,  4.52s/it, loss=0.4360, lr=4.91e-05]
Training:   0%|          | 46/27500 [03:31<34:29:31,  4.52s/it, loss=0.5031, lr=4.90e-05]
Training:   0%|          | 47/27500 [03:31<34:28:41,  4.52s/it, loss=0.5031, lr=4.90e-05]
Training:   0%|          | 47/27500 [03:35<34:28:41,  4.52s/it, loss=0.4818, lr=4.90e-05]
Training:   0%|          | 48/27500 [03:35<34:23:04,  4.51s/it, loss=0.4818, lr=4.90e-05]
Training:   0%|          | 48/27500 [03:40<34:23:04,  4.51s/it, loss=0.4080, lr=4.90e-05]
Training:   0%|          | 49/27500 [03:40<34:11:38,  4.48s/it, loss=0.4080, lr=4.90e-05]
Training:   0%|          | 49/27500 [03:44<34:11:38,  4.48s/it, loss=0.4737, lr=4.89e-05]
Training:   0%|          | 50/27500 [03:44<34:12:49,  4.49s/it, loss=0.4737, lr=4.89e-05]
Training:   0%|          | 50/27500 [03:49<34:12:49,  4.49s/it, loss=0.3964, lr=4.89e-05]
Training:   0%|          | 51/27500 [03:49<34:08:50,  4.48s/it, loss=0.3964, lr=4.89e-05]
Training:   0%|          | 51/27500 [03:53<34:08:50,  4.48s/it, loss=0.6296, lr=4.89e-05]
Training:   0%|          | 52/27500 [03:53<34:19:36,  4.50s/it, loss=0.6296, lr=4.89e-05]
Training:   0%|          | 52/27500 [03:58<34:19:36,  4.50s/it, loss=0.4517, lr=4.89e-05]
Training:   0%|          | 53/27500 [03:58<34:17:54,  4.50s/it, loss=0.4517, lr=4.89e-05]
Training:   0%|          | 53/27500 [04:02<34:17:54,  4.50s/it, loss=0.5925, lr=4.88e-05]
Training:   0%|          | 54/27500 [04:02<34:13:19,  4.49s/it, loss=0.5925, lr=4.88e-05]
Training:   0%|          | 54/27500 [04:07<34:13:19,  4.49s/it, loss=0.3848, lr=4.88e-05]
Training:   0%|          | 55/27500 [04:07<34:15:53,  4.49s/it, loss=0.3848, lr=4.88e-05]
Training:   0%|          | 55/27500 [04:11<34:15:53,  4.49s/it, loss=0.5704, lr=4.88e-05]
Training:   0%|          | 56/27500 [04:11<34:18:40,  4.50s/it, loss=0.5704, lr=4.88e-05]
Training:   0%|          | 56/27500 [04:16<34:18:40,  4.50s/it, loss=0.4466, lr=4.87e-05]
Training:   0%|          | 57/27500 [04:16<34:20:03,  4.50s/it, loss=0.4466, lr=4.87e-05]
Training:   0%|          | 57/27500 [04:20<34:20:03,  4.50s/it, loss=0.4795, lr=4.87e-05]
Training:   0%|          | 58/27500 [04:20<34:18:14,  4.50s/it, loss=0.4795, lr=4.87e-05]
Training:   0%|          | 58/27500 [04:25<34:18:14,  4.50s/it, loss=0.4058, lr=4.87e-05]
Training:   0%|          | 59/27500 [04:25<34:10:51,  4.48s/it, loss=0.4058, lr=4.87e-05]
Training:   0%|          | 59/27500 [04:29<34:10:51,  4.48s/it, loss=0.6561, lr=4.86e-05]
Training:   0%|          | 60/27500 [04:29<34:11:20,  4.49s/it, loss=0.6561, lr=4.86e-05]
Training:   0%|          | 60/27500 [04:34<34:11:20,  4.49s/it, loss=0.3937, lr=4.86e-05]
Training:   0%|          | 61/27500 [04:34<34:13:47,  4.49s/it, loss=0.3937, lr=4.86e-05]
Training:   0%|          | 61/27500 [04:38<34:13:47,  4.49s/it, loss=0.4959, lr=4.86e-05]
Training:   0%|          | 62/27500 [04:38<34:09:33,  4.48s/it, loss=0.4959, lr=4.86e-05]
Training:   0%|          | 62/27500 [04:43<34:09:33,  4.48s/it, loss=0.3766, lr=4.85e-05]
Training:   0%|          | 63/27500 [04:43<34:20:11,  4.51s/it, loss=0.3766, lr=4.85e-05]
Training:   0%|          | 63/27500 [04:47<34:20:11,  4.51s/it, loss=0.4729, lr=4.85e-05]
Training:   0%|          | 64/27500 [04:47<34:25:29,  4.52s/it, loss=0.4729, lr=4.85e-05]
Training:   0%|          | 64/27500 [04:52<34:25:29,  4.52s/it, loss=0.3780, lr=4.85e-05]
Training:   0%|          | 65/27500 [04:52<34:18:11,  4.50s/it, loss=0.3780, lr=4.85e-05]
Training:   0%|          | 65/27500 [04:56<34:18:11,  4.50s/it, loss=0.4474, lr=4.84e-05]
Training:   0%|          | 66/27500 [04:56<34:11:10,  4.49s/it, loss=0.4474, lr=4.84e-05]
Training:   0%|          | 66/27500 [05:01<34:11:10,  4.49s/it, loss=0.5127, lr=4.84e-05]
Training:   0%|          | 67/27500 [05:01<34:12:17,  4.49s/it, loss=0.5127, lr=4.84e-05]
Training:   0%|          | 67/27500 [05:05<34:12:17,  4.49s/it, loss=0.3771, lr=4.84e-05]
Training:   0%|          | 68/27500 [05:05<34:11:41,  4.49s/it, loss=0.3771, lr=4.84e-05]
Training:   0%|          | 68/27500 [05:09<34:11:41,  4.49s/it, loss=0.3975, lr=4.84e-05]
Training:   0%|          | 69/27500 [05:09<34:05:52,  4.47s/it, loss=0.3975, lr=4.84e-05]
Training:   0%|          | 69/27500 [05:14<34:05:52,  4.47s/it, loss=0.3927, lr=4.83e-05]
Training:   0%|          | 70/27500 [05:14<34:07:41,  4.48s/it, loss=0.3927, lr=4.83e-05]
Training:   0%|          | 70/27500 [05:18<34:07:41,  4.48s/it, loss=0.5379, lr=4.83e-05]
Training:   0%|          | 71/27500 [05:18<34:12:37,  4.49s/it, loss=0.5379, lr=4.83e-05]
Training:   0%|          | 71/27500 [05:23<34:12:37,  4.49s/it, loss=0.4546, lr=4.83e-05]
Training:   0%|          | 72/27500 [05:23<34:13:44,  4.49s/it, loss=0.4546, lr=4.83e-05]
Training:   0%|          | 72/27500 [05:27<34:13:44,  4.49s/it, loss=0.3452, lr=4.82e-05]
Training:   0%|          | 73/27500 [05:27<34:10:57,  4.49s/it, loss=0.3452, lr=4.82e-05]
Training:   0%|          | 73/27500 [05:32<34:10:57,  4.49s/it, loss=0.6707, lr=4.82e-05]
Training:   0%|          | 74/27500 [05:32<34:06:57,  4.48s/it, loss=0.6707, lr=4.82e-05]
Training:   0%|          | 74/27500 [05:36<34:06:57,  4.48s/it, loss=0.4264, lr=4.82e-05]
Training:   0%|          | 75/27500 [05:36<34:06:38,  4.48s/it, loss=0.4264, lr=4.82e-05]
Training:   0%|          | 75/27500 [05:41<34:06:38,  4.48s/it, loss=0.4666, lr=4.81e-05]
Training:   0%|          | 76/27500 [05:41<34:18:33,  4.50s/it, loss=0.4666, lr=4.81e-05]
Training:   0%|          | 76/27500 [05:45<34:18:33,  4.50s/it, loss=0.4292, lr=4.81e-05]
Training:   0%|          | 77/27500 [05:45<34:16:26,  4.50s/it, loss=0.4292, lr=4.81e-05]
