[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 15): 1604M total, 311M trainable
SLat model built (vjepa_dim=1536 for DINOv2)
  basic_2: p0=7421, p1=310, dino=torch.Size([1, 5480, 1536])
  basic_5: p0=7117, p1=554, dino=torch.Size([1, 5480, 1536])

SLat + DINOv2 overfit: basic_2 vs basic_5, 30000 steps

  [100/30000] loss=2.484017 | 1.04 it/s
  [200/30000] loss=2.156387 | 1.04 it/s
  [300/30000] loss=2.134714 | 1.04 it/s
  [400/30000] loss=2.131895 | 1.04 it/s
  [500/30000] loss=2.147016 | 1.05 it/s
  [600/30000] loss=2.130294 | 1.04 it/s
  [700/30000] loss=2.125007 | 1.04 it/s
  [800/30000] loss=2.125359 | 1.04 it/s
  [900/30000] loss=2.127414 | 1.04 it/s
  [1000/30000] loss=2.125323 | 1.04 it/s
  [1100/30000] loss=2.108484 | 1.04 it/s
  [1200/30000] loss=2.108152 | 1.04 it/s
  [1300/30000] loss=2.108175 | 1.04 it/s
  [1400/30000] loss=2.122679 | 1.04 it/s
  [1500/30000] loss=2.121727 | 1.04 it/s
  [1600/30000] loss=2.123172 | 1.04 it/s
  [1700/30000] loss=2.129828 | 1.04 it/s
  [1800/30000] loss=2.111159 | 1.04 it/s
  [1900/30000] loss=2.115737 | 1.04 it/s
  [2000/30000] loss=2.122065 | 1.04 it/s
  [2100/30000] loss=2.124290 | 1.04 it/s
  [2200/30000] loss=2.137084 | 1.04 it/s
  [2300/30000] loss=2.124233 | 1.04 it/s
  [2400/30000] loss=2.122857 | 1.04 it/s
  [2500/30000] loss=2.115254 | 1.04 it/s
  [2600/30000] loss=2.126372 | 1.04 it/s
  [2700/30000] loss=2.119076 | 1.04 it/s
  [2800/30000] loss=2.116128 | 1.04 it/s
  [2900/30000] loss=2.127643 | 1.04 it/s
  [3000/30000] loss=2.110746 | 1.04 it/s
  [3100/30000] loss=2.119100 | 1.04 it/s
  [3200/30000] loss=2.125033 | 1.04 it/s
  [3300/30000] loss=2.121888 | 1.04 it/s
  [3400/30000] loss=2.118688 | 1.04 it/s
  [3500/30000] loss=2.113162 | 1.04 it/s
  [3600/30000] loss=2.130443 | 1.04 it/s
  [3700/30000] loss=2.132453 | 1.04 it/s
  [3800/30000] loss=2.140296 | 1.04 it/s
  [3900/30000] loss=2.135615 | 1.04 it/s
  [4000/30000] loss=2.119169 | 1.04 it/s
  [4100/30000] loss=2.109640 | 1.04 it/s
  [4200/30000] loss=2.130725 | 1.04 it/s
  [4300/30000] loss=2.121281 | 1.04 it/s
  [4400/30000] loss=2.130707 | 1.04 it/s
  [4500/30000] loss=2.125466 | 1.04 it/s
  [4600/30000] loss=2.106249 | 1.04 it/s
  [4700/30000] loss=2.123580 | 1.04 it/s
  [4800/30000] loss=2.119290 | 1.04 it/s
  [4900/30000] loss=2.134960 | 1.04 it/s
  [5000/30000] loss=2.125514 | 1.04 it/s
  Saved: /mnt/data_ssd/infinigen-sim-data/checkpoints/slat_dino_2anim/step_5000.pt
  [5100/30000] loss=2.127351 | 1.04 it/s
  [5200/30000] loss=2.123289 | 1.04 it/s
  [5300/30000] loss=2.128829 | 1.04 it/s
  [5400/30000] loss=2.132476 | 1.04 it/s
  [5500/30000] loss=2.118744 | 1.04 it/s
  [5600/30000] loss=2.122307 | 1.04 it/s
  [5700/30000] loss=2.125840 | 1.04 it/s
  [5800/30000] loss=2.122771 | 1.04 it/s
  [5900/30000] loss=2.107702 | 1.04 it/s
  [6000/30000] loss=2.129292 | 1.04 it/s
  [6100/30000] loss=2.124550 | 1.04 it/s
  [6200/30000] loss=2.124927 | 1.04 it/s
  [6300/30000] loss=2.133206 | 1.04 it/s
  [6400/30000] loss=2.133224 | 1.04 it/s
  [6500/30000] loss=2.115067 | 1.04 it/s
  [6600/30000] loss=2.116168 | 1.04 it/s
  [6700/30000] loss=2.131789 | 1.04 it/s
  [6800/30000] loss=2.124922 | 1.04 it/s
  [6900/30000] loss=2.111919 | 1.04 it/s
  [7000/30000] loss=2.132726 | 1.04 it/s
  [7100/30000] loss=2.129174 | 1.04 it/s
  [7200/30000] loss=2.131136 | 1.04 it/s
  [7300/30000] loss=2.119669 | 1.04 it/s
  [7400/30000] loss=2.125866 | 1.04 it/s
  [7500/30000] loss=2.122032 | 1.04 it/s
