[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: auroraryan0301 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run o0rdef31
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /mnt/cpfs/yurh/Infinigen-Sim/wandb/run-20260330_142323-o0rdef31
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run slat_jepa_lamp0
wandb: ⭐️ View project at https://wandb.ai/auroraryan0301/infinipart
wandb: 🚀 View run at https://wandb.ai/auroraryan0301/infinipart/runs/o0rdef31
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 15): 1603M total, 311M trainable
Sample: lamp/0_basic_0, p0=88, p1=598, jepa=torch.Size([1, 10240, 1408])

Single JEPA SLat overfit: lamp/0_basic_0, 5000 steps

  [50/5000] loss=2.352675 | 1.62 it/s
  [100/5000] loss=1.906713 | 1.62 it/s
  [150/5000] loss=1.905530 | 1.62 it/s
  [200/5000] loss=1.895242 | 1.62 it/s
  [250/5000] loss=1.897823 | 1.62 it/s
  [300/5000] loss=1.898238 | 1.61 it/s
  [350/5000] loss=1.883773 | 1.61 it/s
  [400/5000] loss=1.890454 | 1.61 it/s
  [450/5000] loss=1.886508 | 1.61 it/s
  [500/5000] loss=1.881856 | 1.62 it/s
  [550/5000] loss=1.882538 | 1.62 it/s
  [600/5000] loss=1.891060 | 1.62 it/s
  [650/5000] loss=1.894087 | 1.62 it/s
  [700/5000] loss=1.886319 | 1.62 it/s
  [750/5000] loss=1.885049 | 1.62 it/s
  [800/5000] loss=1.885712 | 1.62 it/s
  [850/5000] loss=1.884403 | 1.62 it/s
  [900/5000] loss=1.881513 | 1.62 it/s
  [950/5000] loss=1.881115 | 1.62 it/s
  [1000/5000] loss=1.890135 | 1.62 it/s
  [1050/5000] loss=1.878141 | 1.62 it/s
  [1100/5000] loss=1.885747 | 1.62 it/s
  [1150/5000] loss=1.882935 | 1.62 it/s
  [1200/5000] loss=1.881945 | 1.62 it/s
  [1250/5000] loss=1.882574 | 1.62 it/s
  [1300/5000] loss=1.886615 | 1.62 it/s
  [1350/5000] loss=1.883330 | 1.62 it/s
  [1400/5000] loss=1.881947 | 1.62 it/s
  [1450/5000] loss=1.885554 | 1.62 it/s
  [1500/5000] loss=1.883314 | 1.62 it/s
  [1550/5000] loss=1.883619 | 1.62 it/s
  [1600/5000] loss=1.882402 | 1.62 it/s
  [1650/5000] loss=1.883078 | 1.62 it/s
  [1700/5000] loss=1.885773 | 1.62 it/s
  [1750/5000] loss=1.878587 | 1.62 it/s
  [1800/5000] loss=1.888124 | 1.62 it/s
  [1850/5000] loss=1.885274 | 1.62 it/s
  [1900/5000] loss=1.880294 | 1.62 it/s
  [1950/5000] loss=1.887627 | 1.62 it/s
  [2000/5000] loss=1.885396 | 1.62 it/s
  [2050/5000] loss=1.886166 | 1.62 it/s
  [2100/5000] loss=1.885800 | 1.62 it/s
  [2150/5000] loss=1.886452 | 1.62 it/s
  [2200/5000] loss=1.885354 | 1.62 it/s
  [2250/5000] loss=1.886593 | 1.62 it/s
  [2300/5000] loss=1.880810 | 1.62 it/s
  [2350/5000] loss=1.883822 | 1.62 it/s
  [2400/5000] loss=1.882818 | 1.62 it/s
  [2450/5000] loss=1.880926 | 1.62 it/s
  [2500/5000] loss=1.881731 | 1.62 it/s
  [2550/5000] loss=1.884477 | 1.62 it/s
  [2600/5000] loss=1.887293 | 1.62 it/s
  [2650/5000] loss=1.878862 | 1.62 it/s
  [2700/5000] loss=1.882862 | 1.62 it/s
  [2750/5000] loss=1.886179 | 1.62 it/s
  [2800/5000] loss=1.885144 | 1.62 it/s
  [2850/5000] loss=1.882689 | 1.62 it/s
  [2900/5000] loss=1.881076 | 1.62 it/s
  [2950/5000] loss=1.884260 | 1.62 it/s
  [3000/5000] loss=1.879845 | 1.62 it/s
  [3050/5000] loss=1.882004 | 1.62 it/s
  [3100/5000] loss=1.885732 | 1.62 it/s
  [3150/5000] loss=1.882501 | 1.62 it/s
  [3200/5000] loss=1.883277 | 1.62 it/s
  [3250/5000] loss=1.882716 | 1.62 it/s
  [3300/5000] loss=1.880888 | 1.62 it/s
  [3350/5000] loss=1.884944 | 1.62 it/s
  [3400/5000] loss=1.887015 | 1.62 it/s
  [3450/5000] loss=1.880122 | 1.62 it/s
  [3500/5000] loss=1.887642 | 1.62 it/s
  [3550/5000] loss=1.883063 | 1.62 it/s
  [3600/5000] loss=1.881132 | 1.62 it/s
  [3650/5000] loss=1.881952 | 1.62 it/s
