[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: auroraryan0301 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ba4g658i
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /mnt/cpfs/yurh/Infinigen-Sim/wandb/run-20260330_142323-ba4g658i
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run slat_jepa_table22367
wandb: ⭐️ View project at https://wandb.ai/auroraryan0301/infinipart
wandb: 🚀 View run at https://wandb.ai/auroraryan0301/infinipart/runs/ba4g658i
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 15): 1603M total, 311M trainable
Sample: PhysXMobility/22367_basic_2, p0=7421, p1=310, jepa=torch.Size([1, 10240, 1408])

Single JEPA SLat overfit: PhysXMobility/22367_basic_2, 5000 steps

  [50/5000] loss=2.501085 | 0.51 it/s
  [100/5000] loss=0.762284 | 0.51 it/s
  [150/5000] loss=0.540516 | 0.51 it/s
  [200/5000] loss=0.409401 | 0.51 it/s
  [250/5000] loss=0.420436 | 0.51 it/s
  [300/5000] loss=0.316002 | 0.51 it/s
  [350/5000] loss=0.333513 | 0.51 it/s
  [400/5000] loss=0.216753 | 0.51 it/s
  [450/5000] loss=0.172917 | 0.51 it/s
  [500/5000] loss=0.162662 | 0.51 it/s
  [550/5000] loss=0.128212 | 0.51 it/s
  [600/5000] loss=0.141641 | 0.51 it/s
  [650/5000] loss=0.139274 | 0.51 it/s
  [700/5000] loss=0.185458 | 0.51 it/s
  [750/5000] loss=0.186780 | 0.51 it/s
  [800/5000] loss=0.134354 | 0.51 it/s
  [850/5000] loss=0.159847 | 0.51 it/s
  [900/5000] loss=0.094110 | 0.51 it/s
  [950/5000] loss=0.097101 | 0.51 it/s
  [1000/5000] loss=0.150963 | 0.51 it/s
  [1050/5000] loss=0.130616 | 0.52 it/s
  [1100/5000] loss=0.150944 | 0.53 it/s
  [1150/5000] loss=0.169549 | 0.54 it/s
  [1200/5000] loss=0.089330 | 0.55 it/s
  [1250/5000] loss=0.109053 | 0.55 it/s
  [1300/5000] loss=0.106644 | 0.56 it/s
  [1350/5000] loss=0.111740 | 0.57 it/s
  [1400/5000] loss=0.080673 | 0.57 it/s
  [1450/5000] loss=0.085238 | 0.58 it/s
  [1500/5000] loss=0.038606 | 0.59 it/s
  [1550/5000] loss=0.067120 | 0.59 it/s
  [1600/5000] loss=0.150870 | 0.59 it/s
  [1650/5000] loss=0.108162 | 0.59 it/s
  [1700/5000] loss=0.144730 | 0.59 it/s
  [1750/5000] loss=0.124792 | 0.58 it/s
  [1800/5000] loss=0.121951 | 0.58 it/s
  [1850/5000] loss=0.093603 | 0.58 it/s
  [1900/5000] loss=0.086737 | 0.58 it/s
  [1950/5000] loss=0.074478 | 0.57 it/s
  [2000/5000] loss=0.109674 | 0.57 it/s
  [2050/5000] loss=0.059274 | 0.57 it/s
  [2100/5000] loss=0.078590 | 0.57 it/s
  [2150/5000] loss=0.040756 | 0.57 it/s
  [2200/5000] loss=0.052508 | 0.57 it/s
  [2250/5000] loss=0.066431 | 0.56 it/s
  [2300/5000] loss=0.088846 | 0.56 it/s
  [2350/5000] loss=0.093537 | 0.56 it/s
  [2400/5000] loss=0.085015 | 0.56 it/s
  [2450/5000] loss=0.050887 | 0.56 it/s
  [2500/5000] loss=0.046653 | 0.56 it/s
  [2550/5000] loss=0.064331 | 0.57 it/s
  [2600/5000] loss=0.068796 | 0.57 it/s
  [2650/5000] loss=0.040937 | 0.57 it/s
  [2700/5000] loss=0.073495 | 0.57 it/s
  [2750/5000] loss=0.040371 | 0.57 it/s
  [2800/5000] loss=0.034712 | 0.57 it/s
  [2850/5000] loss=0.085938 | 0.57 it/s
  [2900/5000] loss=0.064837 | 0.57 it/s
  [2950/5000] loss=0.055731 | 0.57 it/s
  [3000/5000] loss=0.128186 | 0.57 it/s
  [3050/5000] loss=0.103971 | 0.57 it/s
  [3100/5000] loss=0.113936 | 0.57 it/s
  [3150/5000] loss=0.077176 | 0.56 it/s
  [3200/5000] loss=0.059484 | 0.56 it/s
  [3250/5000] loss=0.109729 | 0.56 it/s
  [3300/5000] loss=0.053704 | 0.56 it/s
  [3350/5000] loss=0.091510 | 0.56 it/s
  [3400/5000] loss=0.043565 | 0.56 it/s
  [3450/5000] loss=0.069424 | 0.56 it/s
  [3500/5000] loss=0.056298 | 0.56 it/s
  [3550/5000] loss=0.101142 | 0.56 it/s
  [3600/5000] loss=0.101608 | 0.56 it/s
  [3650/5000] loss=0.034455 | 0.56 it/s
  [3700/5000] loss=0.099284 | 0.56 it/s
  [3750/5000] loss=0.049087 | 0.56 it/s
  [3800/5000] loss=0.016744 | 0.56 it/s
  [3850/5000] loss=0.034052 | 0.56 it/s
  [3900/5000] loss=0.099807 | 0.56 it/s
  [3950/5000] loss=0.043270 | 0.56 it/s
  [4000/5000] loss=0.030253 | 0.56 it/s
  [4050/5000] loss=0.111944 | 0.56 it/s
  [4100/5000] loss=0.035993 | 0.56 it/s
  [4150/5000] loss=0.046659 | 0.56 it/s
  [4200/5000] loss=0.088848 | 0.55 it/s
  [4250/5000] loss=0.086647 | 0.55 it/s
  [4300/5000] loss=0.036053 | 0.55 it/s
  [4350/5000] loss=0.051614 | 0.55 it/s
  [4400/5000] loss=0.090016 | 0.55 it/s
  [4450/5000] loss=0.079634 | 0.55 it/s
  [4500/5000] loss=0.017771 | 0.55 it/s
  [4550/5000] loss=0.098509 | 0.55 it/s
  [4600/5000] loss=0.113933 | 0.55 it/s
  [4650/5000] loss=0.087908 | 0.55 it/s
  [4700/5000] loss=0.052295 | 0.55 it/s
  [4750/5000] loss=0.058566 | 0.55 it/s
  [4800/5000] loss=0.075048 | 0.55 it/s
  [4850/5000] loss=0.023894 | 0.55 it/s
  [4900/5000] loss=0.101266 | 0.55 it/s
  [4950/5000] loss=0.125725 | 0.55 it/s
  [5000/5000] loss=0.045686 | 0.55 it/s

Done in 151.4m
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mslat_jepa_table22367[0m at: [34mhttps://wandb.ai/auroraryan0301/infinipart/runs/ba4g658i[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260330_142323-ba4g658i/logs[0m
