
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[SPARSE] Conv backend: flex_gemm; Attention backend: flash_attn
[ATTENTION] Using backend: flash_attn
[ATTENTION] Using backend: flash_attn
[ATTENTION] Using backend: flash_attn
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
Loaded SLat 512 weights from /mnt/cpfs/yurh/TRELLIS.2-4B/ckpts/slat_flow_img2shape_dit_1_3B_512_bf16.safetensors
DualPartSLatModel (512, cross_attn from block 29): 1603M total, 311M trainable
DualPartSLatModel (512, cross_attn from block 29): 1603M total, 311M trainable
DualPartSLatModel (512, cross_attn from block 29): 1603M total, 311M trainable
[Dataset] 2250 samples

=== Progressive SLat Refiner Training ===
  GPUs: 3, Data: 2250 samples
  Trainable: 311M / 1603M
  Steps: 20000, LR: 0.0001
  Progressive: block 29→15, expand every 500 steps
  Output: /mnt/data_ssd/infinigen-sim/slat_progressive_full

  [1/20000] loss=0.5176 lr=2.00e-07 active=1 | 0.56 it/s ETA 591m
  [20/20000] loss=0.4461 lr=4.00e-06 active=1 | 1.40 it/s ETA 238m
  [40/20000] loss=0.3944 lr=8.00e-06 active=1 | 1.48 it/s ETA 224m
  [60/20000] loss=0.2845 lr=1.20e-05 active=1 | 1.52 it/s ETA 218m
  [80/20000] loss=0.1774 lr=1.60e-05 active=1 | 1.56 it/s ETA 213m
  [100/20000] loss=0.3098 lr=2.00e-05 active=1 | 1.60 it/s ETA 208m
  [120/20000] loss=0.1571 lr=2.40e-05 active=1 | 1.62 it/s ETA 205m
  [140/20000] loss=0.3654 lr=2.80e-05 active=1 | 1.63 it/s ETA 203m
  [160/20000] loss=0.2426 lr=3.20e-05 active=1 | 1.64 it/s ETA 201m
  [180/20000] loss=0.2973 lr=3.60e-05 active=1 | 1.65 it/s ETA 200m
  [200/20000] loss=0.3356 lr=4.00e-05 active=1 | 1.64 it/s ETA 201m
  [220/20000] loss=0.2411 lr=4.40e-05 active=1 | 1.64 it/s ETA 201m
  [240/20000] loss=0.3381 lr=4.80e-05 active=1 | 1.65 it/s ETA 200m
  [260/20000] loss=0.3805 lr=5.20e-05 active=1 | 1.64 it/s ETA 200m
  [280/20000] loss=0.2652 lr=5.60e-05 active=1 | 1.64 it/s ETA 201m
  [300/20000] loss=0.2058 lr=6.00e-05 active=1 | 1.65 it/s ETA 199m
  [320/20000] loss=0.3078 lr=6.40e-05 active=1 | 1.65 it/s ETA 199m
  [340/20000] loss=0.2828 lr=6.80e-05 active=1 | 1.65 it/s ETA 198m
  [360/20000] loss=0.2811 lr=7.20e-05 active=1 | 1.65 it/s ETA 198m
  [380/20000] loss=0.2026 lr=7.60e-05 active=1 | 1.65 it/s ETA 198m
  [400/20000] loss=0.2107 lr=8.00e-05 active=1 | 1.64 it/s ETA 199m
  [420/20000] loss=0.2306 lr=8.40e-05 active=1 | 1.64 it/s ETA 199m
  [440/20000] loss=0.2942 lr=8.80e-05 active=1 | 1.65 it/s ETA 198m
  [460/20000] loss=0.2594 lr=9.20e-05 active=1 | 1.64 it/s ETA 198m
  [480/20000] loss=0.2144 lr=9.60e-05 active=1 | 1.65 it/s ETA 198m
  [500/20000] loss=0.2228 lr=1.00e-04 active=1 | 1.65 it/s ETA 197m

  >>> Step 500: expanded to 2 cross-attn layers (blocks 28-29)

  [520/20000] loss=0.2681 lr=1.00e-04 active=2 | 1.65 it/s ETA 197m
  [540/20000] loss=0.3019 lr=1.00e-04 active=2 | 1.64 it/s ETA 197m
  [560/20000] loss=0.3812 lr=1.00e-04 active=2 | 1.65 it/s ETA 196m
  [580/20000] loss=0.3485 lr=1.00e-04 active=2 | 1.65 it/s ETA 196m
  [600/20000] loss=0.2814 lr=1.00e-04 active=2 | 1.65 it/s ETA 196m
  [620/20000] loss=0.2536 lr=1.00e-04 active=2 | 1.65 it/s ETA 195m
  [640/20000] loss=0.2619 lr=1.00e-04 active=2 | 1.65 it/s ETA 195m
  [660/20000] loss=0.3164 lr=1.00e-04 active=2 | 1.65 it/s ETA 195m
  [680/20000] loss=0.3239 lr=1.00e-04 active=2 | 1.65 it/s ETA 195m
  [700/20000] loss=0.2883 lr=1.00e-04 active=2 | 1.65 it/s ETA 195m
  [720/20000] loss=0.3013 lr=1.00e-04 active=2 | 1.65 it/s ETA 194m
  [740/20000] loss=0.2657 lr=1.00e-04 active=2 | 1.65 it/s ETA 195m
  [760/20000] loss=0.2471 lr=1.00e-04 active=2 | 1.64 it/s ETA 195m
  [780/20000] loss=0.2694 lr=1.00e-04 active=2 | 1.64 it/s ETA 195m
  [800/20000] loss=0.2782 lr=1.00e-04 active=2 | 1.64 it/s ETA 195m
  [820/20000] loss=0.1982 lr=1.00e-04 active=2 | 1.64 it/s ETA 195m
  [840/20000] loss=0.2915 lr=1.00e-04 active=2 | 1.64 it/s ETA 194m
  [860/20000] loss=0.2716 lr=1.00e-04 active=2 | 1.64 it/s ETA 194m
  [880/20000] loss=0.1801 lr=1.00e-04 active=2 | 1.64 it/s ETA 194m
  [900/20000] loss=0.2774 lr=1.00e-04 active=2 | 1.64 it/s ETA 194m
  [920/20000] loss=0.2832 lr=1.00e-04 active=2 | 1.65 it/s ETA 193m
  [940/20000] loss=0.2849 lr=1.00e-04 active=2 | 1.65 it/s ETA 193m
  [960/20000] loss=0.2562 lr=1.00e-04 active=2 | 1.65 it/s ETA 193m
  [980/20000] loss=0.2992 lr=1.00e-04 active=2 | 1.64 it/s ETA 193m
  [1000/20000] loss=0.3082 lr=1.00e-04 active=2 | 1.64 it/s ETA 193m

  >>> Step 1000: expanded to 3 cross-attn layers (blocks 27-29)

  [1020/20000] loss=0.2952 lr=1.00e-04 active=3 | 1.64 it/s ETA 193m
  [1040/20000] loss=0.2653 lr=1.00e-04 active=3 | 1.64 it/s ETA 193m
  [1060/20000] loss=0.3398 lr=1.00e-04 active=3 | 1.64 it/s ETA 192m
  [1080/20000] loss=0.2393 lr=1.00e-04 active=3 | 1.64 it/s ETA 192m
  [1100/20000] loss=0.2284 lr=1.00e-04 active=3 | 1.64 it/s ETA 192m
  [1120/20000] loss=0.2455 lr=1.00e-04 active=3 | 1.64 it/s ETA 192m
  [1140/20000] loss=0.3126 lr=1.00e-04 active=3 | 1.64 it/s ETA 192m
  [1160/20000] loss=0.3365 lr=1.00e-04 active=3 | 1.64 it/s ETA 192m
  [1180/20000] loss=0.2811 lr=1.00e-04 active=3 | 1.64 it/s ETA 192m
  [1200/20000] loss=0.2823 lr=1.00e-04 active=3 | 1.64 it/s ETA 191m
  [1220/20000] loss=0.1980 lr=1.00e-04 active=3 | 1.64 it/s ETA 191m
  [1240/20000] loss=0.3239 lr=1.00e-04 active=3 | 1.64 it/s ETA 191m
  [1260/20000] loss=0.2008 lr=1.00e-04 active=3 | 1.64 it/s ETA 191m
  [1280/20000] loss=0.3451 lr=1.00e-04 active=3 | 1.64 it/s ETA 191m
  [1300/20000] loss=0.2443 lr=1.00e-04 active=3 | 1.64 it/s ETA 191m
  [1320/20000] loss=0.2651 lr=1.00e-04 active=3 | 1.64 it/s ETA 190m
  [1340/20000] loss=0.3404 lr=1.00e-04 active=3 | 1.64 it/s ETA 190m
  [1360/20000] loss=0.2065 lr=1.00e-04 active=3 | 1.64 it/s ETA 190m
  [1380/20000] loss=0.2610 lr=1.00e-04 active=3 | 1.64 it/s ETA 189m
  [1400/20000] loss=0.2199 lr=1.00e-04 active=3 | 1.64 it/s ETA 189m
  [1420/20000] loss=0.2367 lr=1.00e-04 active=3 | 1.64 it/s ETA 189m
  [1440/20000] loss=0.2190 lr=1.00e-04 active=3 | 1.64 it/s ETA 189m
  [1460/20000] loss=0.2373 lr=1.00e-04 active=3 | 1.64 it/s ETA 189m
  [1480/20000] loss=0.1871 lr=1.00e-04 active=3 | 1.64 it/s ETA 189m
  [1500/20000] loss=0.1809 lr=1.00e-04 active=3 | 1.64 it/s ETA 189m

  >>> Step 1500: expanded to 4 cross-attn layers (blocks 26-29)

  [1520/20000] loss=0.2596 lr=1.00e-04 active=4 | 1.63 it/s ETA 189m
  [1540/20000] loss=0.3495 lr=1.00e-04 active=4 | 1.63 it/s ETA 188m
  [1560/20000] loss=0.3327 lr=1.00e-04 active=4 | 1.63 it/s ETA 188m
  [1580/20000] loss=0.3712 lr=1.00e-04 active=4 | 1.63 it/s ETA 188m
  [1600/20000] loss=0.2596 lr=1.00e-04 active=4 | 1.63 it/s ETA 188m
  [1620/20000] loss=0.2246 lr=1.00e-04 active=4 | 1.63 it/s ETA 188m
  [1640/20000] loss=0.3378 lr=1.00e-04 active=4 | 1.63 it/s ETA 187m
  [1660/20000] loss=0.2322 lr=1.00e-04 active=4 | 1.63 it/s ETA 187m
  [1680/20000] loss=0.3641 lr=1.00e-04 active=4 | 1.63 it/s ETA 187m
  [1700/20000] loss=0.2662 lr=1.00e-04 active=4 | 1.63 it/s ETA 187m
  [1720/20000] loss=0.2464 lr=1.00e-04 active=4 | 1.63 it/s ETA 187m
  [1740/20000] loss=0.2701 lr=1.00e-04 active=4 | 1.63 it/s ETA 187m
  [1760/20000] loss=0.3996 lr=1.00e-04 active=4 | 1.63 it/s ETA 187m
  [1780/20000] loss=0.1660 lr=1.00e-04 active=4 | 1.63 it/s ETA 187m
  [1800/20000] loss=0.2650 lr=1.00e-04 active=4 | 1.63 it/s ETA 186m
  [1820/20000] loss=0.2606 lr=1.00e-04 active=4 | 1.63 it/s ETA 186m
  [1840/20000] loss=0.2446 lr=1.00e-04 active=4 | 1.63 it/s ETA 186m
  [1860/20000] loss=0.2812 lr=1.00e-04 active=4 | 1.63 it/s ETA 186m
  [1880/20000] loss=0.2583 lr=1.00e-04 active=4 | 1.63 it/s ETA 186m
  [1900/20000] loss=0.1718 lr=1.00e-04 active=4 | 1.62 it/s ETA 186m
  [1920/20000] loss=0.2176 lr=1.00e-04 active=4 | 1.62 it/s ETA 186m
  [1940/20000] loss=0.3042 lr=1.00e-04 active=4 | 1.62 it/s ETA 185m
  [1960/20000] loss=0.2038 lr=1.00e-04 active=4 | 1.62 it/s ETA 185m
  [1980/20000] loss=0.2339 lr=1.00e-04 active=4 | 1.62 it/s ETA 185m
  [2000/20000] loss=0.2827 lr=1.00e-04 active=4 | 1.62 it/s ETA 185m
  Saved: /mnt/data_ssd/infinigen-sim/slat_progressive_full/step_2000.pt

  >>> Step 2000: expanded to 5 cross-attn layers (blocks 25-29)

  [2020/20000] loss=0.2871 lr=1.00e-04 active=5 | 1.62 it/s ETA 185m
  [2040/20000] loss=0.2790 lr=1.00e-04 active=5 | 1.62 it/s ETA 185m
  [2060/20000] loss=0.3734 lr=1.00e-04 active=5 | 1.62 it/s ETA 185m
  [2080/20000] loss=0.2866 lr=1.00e-04 active=5 | 1.62 it/s ETA 185m
  [2100/20000] loss=0.2986 lr=1.00e-04 active=5 | 1.62 it/s ETA 184m
  [2120/20000] loss=0.2173 lr=1.00e-04 active=5 | 1.62 it/s ETA 184m
  [2140/20000] loss=0.2259 lr=1.00e-04 active=5 | 1.62 it/s ETA 184m
  [2160/20000] loss=0.2285 lr=1.00e-04 active=5 | 1.62 it/s ETA 184m
  [2180/20000] loss=0.2603 lr=1.00e-04 active=5 | 1.62 it/s ETA 184m
  [2200/20000] loss=0.3177 lr=1.00e-04 active=5 | 1.62 it/s ETA 184m
